reference,window,set,acc,ci_lo,ci_hi,n_above_null,n_subj,wilcoxon_p,cohens_d,bf01,perm_p,excess_ratio,radial_r,ap_coef,midline_rho,joint_acc
mastoid,stim_0.14_to_0.64s,OCC-9,0.24166666666666667,0.21583333333333332,0.27083333333333337,5,5,0.03125,1.1704114719284284,0.5067661346353466,nan,1.3337142857142859,-0.32453401357904477,0.010281396408654837,-0.07185757571479554,0.24833333333333332
mastoid,stim_0.14_to_0.64s,OCC-9-local,0.22416666666666665,0.20916666666666667,0.24416666666666664,5,5,0.03125,1.0467881696970862,0.6246136703132241,nan,1.3337142857142859,-0.32453401357904477,0.010281396408654837,-0.07185757571479554,0.24833333333333332
mastoid,stim_0.14_to_0.64s,RIM-4,0.24083333333333334,0.22416666666666668,0.26083333333333336,5,5,0.03125,1.7687110453502486,0.20583867353488858,nan,1.3337142857142859,-0.32453401357904477,0.010281396408654837,-0.07185757571479554,0.24833333333333332
mastoid,late_1.14_to_2.64s,FRONT-5,0.26,0.2341666666666667,0.29083333333333333,5,5,0.03125,1.6485427855257844,0.24296758758265558,nan,1.9622093023255813,-0.5220196779994946,0.013143029828065408,0.28571428571428575,0.255
mastoid,late_1.14_to_2.64s,FRONT-5-local,0.205,0.18833333333333332,0.2225,2,5,0.4375,0.2239960178739319,2.2717274842613513,nan,1.9622093023255813,-0.5220196779994946,0.013143029828065408,0.28571428571428575,0.255
mastoid,late_1.14_to_2.64s,OCC-9,0.22666666666666666,0.22166666666666668,0.2316666666666667,5,5,0.03125,4.220035029065206,0.020520432807254255,nan,1.9622093023255813,-0.5220196779994946,0.013143029828065408,0.28571428571428575,0.255
mastoid,late_1.14_to_2.64s,OCC-9-local,0.22,0.21000000000000002,0.2308333333333333,5,5,0.03125,1.5029382984914166,0.30002322152751926,nan,1.9622093023255813,-0.5220196779994946,0.013143029828065408,0.28571428571428575,0.255
mastoid,late_1.14_to_2.64s,RIM-4,0.22083333333333333,0.1975,0.24499999999999997,4,5,0.09375,0.6967330142683161,1.1536592657595208,nan,1.9622093023255813,-0.5220196779994946,0.013143029828065408,0.28571428571428575,0.255
csd,prestim_-0.50_to_0.00s,FRONT-5,0.28833333333333333,0.2575,0.32749999999999996,5,5,0.03125,1.9296663601885808,0.1666695319025521,nan,5.181502890173421,0.37911918468734923,0.05668232428039744,0.523809523809524,0.23666666666666666
csd,prestim_-0.50_to_0.00s,FRONT-5-local,0.2708333333333333,0.25083333333333335,0.3033333333333333,5,5,0.03125,1.9896995022783293,0.15452453102942335,nan,5.181502890173421,0.37911918468734923,0.05668232428039744,0.523809523809524,0.23666666666666666
csd,prestim_-0.50_to_0.00s,OCC-9,0.23083333333333333,0.20750000000000002,0.25416666666666665,3,5,0.125,1.0136035319628174,0.6613894066031735,nan,5.181502890173421,0.37911918468734923,0.05668232428039744,0.523809523809524,0.23666666666666666
csd,prestim_-0.50_to_0.00s,OCC-9-local,0.22583333333333333,0.19916666666666666,0.2525,3,5,0.125,0.7507571935077298,1.0495675558050879,nan,5.181502890173421,0.37911918468734923,0.05668232428039744,0.523809523809524,0.23666666666666666
csd,prestim_-0.50_to_0.00s,RIM-4,0.2808333333333333,0.23583333333333334,0.31833333333333336,4,5,0.0625,1.534664130160467,0.28627236695853314,nan,5.181502890173421,0.37911918468734923,0.05668232428039744,0.523809523809524,0.23666666666666666
csd,prestimTRIM_-0.50_to_-0.10s,FRONT-5,0.2925,0.25833333333333336,0.32666666666666666,5,5,0.03125,2.1005179051387697,0.13493928269953215,nan,11.19512195121947,0.33713442368658825,0.05817646919634593,0.6190476190476191,0.24
csd,prestimTRIM_-0.50_to_-0.10s,FRONT-5-local,0.26416666666666666,0.2341666666666667,0.3075,5,5,0.03125,1.3465325272783801,0.38110607353363557,nan,11.19512195121947,0.33713442368658825,0.05817646919634593,0.6190476190476191,0.24
csd,prestimTRIM_-0.50_to_-0.10s,OCC-9,0.2325,0.21083333333333334,0.25416666666666665,4,5,0.0625,1.1601800287106065,0.5154750989991378,nan,11.19512195121947,0.33713442368658825,0.05817646919634593,0.6190476190476191,0.24
csd,prestimTRIM_-0.50_to_-0.10s,OCC-9-local,0.23416666666666666,0.20416666666666666,0.25,4,5,0.0625,1.0314669410934467,0.6412990168685233,nan,11.19512195121947,0.33713442368658825,0.05817646919634593,0.6190476190476191,0.24
csd,prestimTRIM_-0.50_to_-0.10s,RIM-4,0.27666666666666667,0.25166666666666665,0.30333333333333334,5,5,0.03125,2.2264219302993657,0.11639898113383575,nan,11.19512195121947,0.33713442368658825,0.05817646919634593,0.6190476190476191,0.24
csd,stim_0.14_to_0.64s,FRONT-5,0.26166666666666666,0.23833333333333334,0.2891666666666667,5,5,0.03125,1.8765775785044962,0.17844586552828473,nan,2.8879120879120896,0.18709902705574466,0.02947347809299939,-0.1077863635721933,0.2325
csd,stim_0.14_to_0.64s,FRONT-5-local,0.25333333333333335,0.2225,0.2875,5,5,0.03125,1.21932414110996,0.46745484917486474,nan,2.8879120879120896,0.18709902705574466,0.02947347809299939,-0.1077863635721933,0.2325
csd,stim_0.14_to_0.64s,OCC-9,0.21416666666666667,0.1925,0.2416666666666667,3,5,0.3125,0.44152120907768444,1.7495836229197008,nan,2.8879120879120896,0.18709902705574466,0.02947347809299939,-0.1077863635721933,0.2325
csd,stim_0.14_to_0.64s,OCC-9-local,0.24083333333333334,0.22416666666666668,0.26416666666666666,5,5,0.03125,1.4910225175985075,0.30539934945892955,nan,2.8879120879120896,0.18709902705574466,0.02947347809299939,-0.1077863635721933,0.2325
csd,stim_0.14_to_0.64s,RIM-4,0.2275,0.20500000000000002,0.24833333333333335,4,5,0.09375,0.9860636026655176,0.693753468366019,nan,2.8879120879120896,0.18709902705574466,0.02947347809299939,-0.1077863635721933,0.2325
csd,late_1.14_to_2.64s,FRONT-5,0.21833333333333332,0.1925,0.2441666666666667,3,5,0.21875,0.5530327130072085,1.471511078129046,nan,nan,0.25161118332867816,0.0156854214625299,0.11904761904761905,0.255
csd,late_1.14_to_2.64s,FRONT-5-local,0.21,0.1875,0.2325,3,5,0.3125,0.3489640361292049,1.9851196021955209,nan,nan,0.25161118332867816,0.0156854214625299,0.11904761904761905,0.255
csd,late_1.14_to_2.64s,OCC-9,0.21333333333333335,0.19916666666666666,0.2325,4,5,0.125,0.6080091201774792,1.3433027333600913,nan,nan,0.25161118332867816,0.0156854214625299,0.11904761904761905,0.255
csd,late_1.14_to_2.64s,OCC-9-local,0.20083333333333334,0.18666666666666668,0.215,2,5,0.5625,0.04395869822406621,2.5061173512892894,nan,nan,0.25161118332867816,0.0156854214625299,0.11904761904761905,0.255
csd,late_1.14_to_2.64s,RIM-4,0.22416666666666665,0.19083333333333333,0.2575,2,5,0.40625,0.5415596321820656,1.4991612778513124,nan,nan,0.25161118332867816,0.0156854214625299,0.11904761904761905,0.255
