window,channel,x,y,row_acc,col_acc,activation_pattern
pre-stim_-0.50_to_0.00s,P5,-0.3831644926704491,-0.33307981188050406,0.25416666666666665,0.2,0.7797334029209925
pre-stim_-0.50_to_0.00s,P3,-0.2555991277378157,-0.31563863605626796,0.25416666666666665,0.18416666666666667,0.7235324447268722
pre-stim_-0.50_to_0.00s,P1,-0.12679132837194132,-0.3138195499805803,0.24333333333333335,0.17583333333333334,0.6246687160793957
pre-stim_-0.50_to_0.00s,PZ,3.8134397783401996e-17,-0.31139098889535044,0.2625,0.145,0.6605143055771346
pre-stim_-0.50_to_0.00s,P2,0.12679132837194132,-0.3138195499805803,0.23916666666666667,0.18,0.48716312842466214
pre-stim_-0.50_to_0.00s,P4,0.2555991277378157,-0.31563863605626796,0.24166666666666667,0.1825,0.5691655825339736
pre-stim_-0.50_to_0.00s,P6,0.3831644926704491,-0.33307981188050406,0.24916666666666668,0.1825,0.7267759091880893
pre-stim_-0.50_to_0.00s,P8,0.5038313462318709,-0.3660548999796477,0.265,0.18166666666666667,0.42127688679997644
pre-stim_-0.50_to_0.00s,PO7,-0.3660548999796478,-0.5038313462318709,0.26,0.17,0.825823432087335
pre-stim_-0.50_to_0.00s,PO5,-0.3202971422372838,-0.4408511957539812,0.26,0.16916666666666666,0.7939607497758875
pre-stim_-0.50_to_0.00s,PO3,-0.19572631237744492,-0.46110229606836256,0.25666666666666665,0.17833333333333334,0.7416372379400323
pre-stim_-0.50_to_0.00s,POz,5.720010448548868e-17,-0.4670742986901498,0.265,0.1525,0.5421589822156924
pre-stim_-0.50_to_0.00s,PO4,0.19572631237744492,-0.46110229606836256,0.2625,0.15083333333333335,0.5775137289507021
pre-stim_-0.50_to_0.00s,PO6,0.3202971422372838,-0.4408511957539812,0.2658333333333333,0.16333333333333333,0.6291046078268725
pre-stim_-0.50_to_0.00s,PO8,0.3660548999796478,-0.5038313462318709,0.2675,0.1675,0.5598616120282675
pre-stim_-0.50_to_0.00s,CB1,-0.6222539674441618,-0.6222539674441617,0.2966666666666667,0.14583333333333334,0.849315374513089
pre-stim_-0.50_to_0.00s,O1,-0.19244644966295849,-0.5922892699155132,0.2658333333333333,0.15333333333333332,0.602886100068976
pre-stim_-0.50_to_0.00s,Oz,7.626730337718967e-17,-0.622769793137825,0.2675,0.15583333333333332,0.7152441154942224
pre-stim_-0.50_to_0.00s,O2,0.19244644966295849,-0.5922892699155132,0.2725,0.15083333333333335,0.7155576562354351
pre-stim_-0.50_to_0.00s,CB2,0.6222539674441618,-0.6222539674441617,0.30083333333333334,0.15083333333333335,0.7177165089200246
window_0.14_to_0.64s,FP1,-0.1924464496629584,0.5922892699155132,0.25333333333333335,0.12916666666666668,0.28804015553632395
window_0.14_to_0.64s,FPZ,0.0,0.622769793137825,0.2658333333333333,0.12333333333333334,0.36492183448924187
