reference,window,channel,x,y,dist_cz,row_acc,col_acc,pattern,row_p,col_p,row_null_mean
vertex,prestimTRIM_-0.50_to_-0.10s,PO5,-0.3202971422372838,-0.4408511957539812,0.5449220459139874,0.26916666666666667,0.1675,0.7686611127007021,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,PO3,-0.19572631237744492,-0.46110229606836256,0.500923264379275,0.2708333333333333,0.16,0.7034342391195998,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,POz,5.720010448548868e-17,-0.4670742986901498,0.4670742986901498,0.2658333333333333,0.1375,0.4913251803269846,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,PO4,0.19572631237744492,-0.46110229606836256,0.500923264379275,0.27,0.15083333333333335,0.5383666395347751,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,PO6,0.3202971422372838,-0.4408511957539812,0.5449220459139874,0.2758333333333333,0.14416666666666667,0.5992545687374001,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,PO8,0.3660548999796478,-0.5038313462318709,0.622769793137825,0.2675,0.14666666666666667,0.5302718964069241,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,CB1,-0.6222539674441618,-0.6222539674441617,0.88,0.3,0.1325,0.851418178851596,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,O1,-0.19244644966295849,-0.5922892699155132,0.622769793137825,0.2733333333333333,0.14083333333333334,0.6149036041682389,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,Oz,7.626730337718967e-17,-0.622769793137825,0.622769793137825,0.2758333333333333,0.14416666666666667,0.7064400087419498,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,O2,0.19244644966295849,-0.5922892699155132,0.622769793137825,0.27666666666666667,0.13916666666666666,0.689047792017622,nan,nan,nan
vertex,prestimTRIM_-0.50_to_-0.10s,CB2,0.6222539674441618,-0.6222539674441617,0.88,0.3,0.1275,0.7106945627468916,nan,nan,nan
vertex,stim_0.14_to_0.64s,FP1,-0.1924464496629584,0.5922892699155132,0.6227697931378249,0.25333333333333335,nan,0.2880401555363255,nan,nan,nan
vertex,stim_0.14_to_0.64s,FPZ,0.0,0.622769793137825,0.622769793137825,0.2658333333333333,nan,0.36492183448924354,nan,nan,nan
vertex,stim_0.14_to_0.64s,FP2,0.1924464496629584,0.5922892699155132,0.6227697931378249,0.2625,nan,0.381815625069067,nan,nan,nan
vertex,stim_0.14_to_0.64s,AF3,-0.19572631237744492,0.46110229606836256,0.500923264379275,0.24583333333333332,nan,0.25804688964166256,nan,nan,nan
