reference,window,channel,x,y,dist_from_cz,row_acc,col_acc,activation_pattern
vertex,pre-stim_-0.50_to_0.00s,CB1,-0.6222539674441618,-0.6222539674441617,0.88,0.2892857142857143,0.13964285714285715,0.595844374198397
vertex,pre-stim_-0.50_to_0.00s,O1,-0.19244644966295849,-0.5922892699155132,0.622769793137825,0.2810714285714286,0.14273809523809525,0.5800202321366508
vertex,pre-stim_-0.50_to_0.00s,Oz,7.626730337718967e-17,-0.622769793137825,0.622769793137825,0.2798809523809524,0.13607142857142857,0.5914370814999289
vertex,pre-stim_-0.50_to_0.00s,O2,0.19244644966295849,-0.5922892699155132,0.622769793137825,0.2783333333333333,0.14797619047619048,0.596685372592443
vertex,pre-stim_-0.50_to_0.00s,CB2,0.6222539674441618,-0.6222539674441617,0.88,0.2905952380952381,0.14761904761904762,0.672742109497306
vertex,window_0.14_to_0.64s,FP1,-0.1924464496629584,0.5922892699155132,0.6227697931378249,0.25821428571428573,0.15071428571428572,0.2361363157225328
vertex,window_0.14_to_0.64s,FPZ,0.0,0.622769793137825,0.622769793137825,0.2714285714285714,0.13214285714285715,0.33109927240996223
vertex,window_0.14_to_0.64s,FP2,0.1924464496629584,0.5922892699155132,0.6227697931378249,0.2661904761904762,0.13416666666666666,0.272030042849025
vertex,window_0.14_to_0.64s,AF3,-0.19572631237744492,0.46110229606836256,0.500923264379275,0.24571428571428572,0.15857142857142856,0.3209993398258814
vertex,window_0.14_to_0.64s,AF4,0.19572631237744492,0.46110229606836256,0.500923264379275,0.25107142857142856,0.15726190476190477,0.357877949926466
vertex,window_0.14_to_0.64s,F7,-0.5038313462318709,0.36605489997964774,0.6227697931378249,0.2138095238095238,0.23595238095238094,0.47841092978334365
vertex,window_0.14_to_0.64s,F5,-0.38316449267044905,0.3330798118805041,0.5076979313782504,0.2144047619047619,0.21357142857142858,0.426523063485291
vertex,window_0.14_to_0.64s,F3,-0.2555991277378157,0.31563863605626796,0.4061510343108748,0.22845238095238096,0.1738095238095238,0.3562771758329853
vertex,window_0.14_to_0.64s,F1,-0.12679132837194124,0.31381954998058037,0.3384652875855003,0.23726190476190476,0.15273809523809523,0.3937647597962762
vertex,window_0.14_to_0.64s,FZ,0.0,0.31139098889535044,0.31139098889535044,0.24726190476190477,0.13428571428571429,0.4453684538940953
vertex,window_0.14_to_0.64s,F2,0.12679132837194124,0.31381954998058037,0.3384652875855003,0.2392857142857143,0.14464285714285716,0.5081928961642388
vertex,window_0.14_to_0.64s,F4,0.2555991277378157,0.31563863605626796,0.4061510343108748,0.23345238095238094,0.18107142857142858,0.3492305431953571
vertex,window_0.14_to_0.64s,F6,0.38316449267044905,0.3330798118805041,0.5076979313782504,0.21535714285714286,0.21,0.32729969152920463
vertex,window_0.14_to_0.64s,F8,0.5038313462318709,0.36605489997964774,0.6227697931378249,0.2230952380952381,0.24214285714285713,0.3334854541577886
vertex,window_0.14_to_0.64s,FT7,-0.5922892699155132,0.19244644966295846,0.622769793137825,0.2175,0.2195238095238095,0.4386859413757545
vertex,window_0.14_to_0.64s,FC5,-0.4486894406361628,0.17223573916038115,0.4806114480352247,0.21595238095238095,0.21273809523809523,0.48469220721997436
vertex,window_0.14_to_0.64s,FC3,-0.2988471109399219,0.15889982751154078,0.33846528758550026,0.22154761904761905,0.18178571428571427,0.4823189959095318
vertex,window_0.14_to_0.64s,FC1,-0.15317259329874983,0.15317259329874983,0.21661875882695025,0.22857142857142856,0.1625,0.47722356446323744
vertex,window_0.14_to_0.64s,FCz,0.0,0.15569549444767522,0.15569549444767522,0.2330952380952381,0.13071428571428573,0.4823291457977934
vertex,window_0.14_to_0.64s,FC2,0.15317259329874983,0.15317259329874983,0.21661875882695025,0.22654761904761905,0.1538095238095238,0.48800242464408994
vertex,window_0.14_to_0.64s,FC4,0.2988471109399219,0.15889982751154078,0.33846528758550026,0.21047619047619048,0.1875,0.38173136959923276
vertex,window_0.14_to_0.64s,FC6,0.4486894406361628,0.17223573916038115,0.4806114480352247,0.20833333333333334,0.23023809523809524,0.33449110568681834
vertex,window_0.14_to_0.64s,FT8,0.5922892699155132,0.19244644966295846,0.622769793137825,0.2255952380952381,0.23976190476190476,0.37888354369975846
vertex,window_0.14_to_0.64s,T7,-0.622769793137825,3.8133651688594835e-17,0.622769793137825,0.23583333333333334,0.20226190476190475,0.46064659538562047
vertex,window_0.14_to_0.64s,C5,-0.4670742986901498,2.860005224274434e-17,0.4670742986901498,0.2230952380952381,0.20476190476190476,0.40423814567325045
vertex,window_0.14_to_0.64s,C3,-0.31139098889535044,1.9067198891700998e-17,0.31139098889535044,0.21345238095238095,0.1951190476190476,0.6115377082131345
vertex,window_0.14_to_0.64s,C1,-0.15569549444767522,9.533599445850499e-18,0.15569549444767522,0.21833333333333332,0.18261904761904763,0.7412072493621005
vertex,window_0.14_to_0.64s,Cz,0.0,0.0,0.0,0.225,0.12845238095238096,0.29374621424434183
vertex,window_0.14_to_0.64s,C2,0.15569549444767522,9.533599445850499e-18,0.15569549444767522,0.2154761904761905,0.17214285714285715,0.49110784314017275
